caption,model,count,mae,rmse,r2,slope,intercept,quadratic,threshold,slope_left,intercept_left,slope_right,intercept_right
GE1,linear,5213,1.258896,2.300637,0.275960,0.732109,3.865367,,,,,,
GE1,quadratic,5213,1.210619,2.234485,0.316999,-0.909552,15.718741,0.055566,,,,,
GE1,piecewise,5213,1.253515,2.273212,0.293119,,,,15.837229,0.428721,8.052968,0.911897,0.888642
GE2,linear,5213,1.265246,2.312076,0.270731,0.719758,4.087486,,,,,,
GE2,quadratic,5213,1.214028,2.240722,0.315050,-0.969324,16.268666,0.057214,,,,,
GE2,piecewise,5213,1.257033,2.280958,0.290230,,,,15.834388,0.403291,8.459100,0.929065,0.599939
VP,linear,5213,1.205555,2.247222,0.677796,0.908148,1.044552,,,,,,
VP,quadratic,5213,1.198974,2.242816,0.679058,1.026108,0.715741,-0.005978,,,,,
VP,piecewise,5213,1.201108,2.245413,0.678314,,,,15.293835,0.929171,0.854671,0.869574,1.652097
VA,linear,5213,0.079909,0.609492,0.955821,0.976296,0.003478,,,,,,
VA,quadratic,5213,0.072394,0.595844,0.957778,1.379536,0.000143,-0.029281,,,,,
VA,piecewise,5213,0.072407,0.594970,0.957901,,,,0.651363,0.000000,0.000000,0.587803,5.285705
CG,linear,5213,1.281315,2.304032,0.661525,0.900158,1.160060,,,,,,
CG,quadratic,5213,1.274985,2.298891,0.663034,1.029181,0.786659,-0.006508,,,,,
CG,piecewise,5213,1.276127,2.301053,0.662399,,,,15.211352,0.926746,0.938070,0.899686,1.092934
MB,linear,5213,1.199707,2.265531,0.665999,0.899607,1.197600,,,,,,
MB,quadratic,5213,1.194394,2.260488,0.667484,1.027885,0.832746,-0.006469,,,,,
MB,piecewise,5213,1.195910,2.263620,0.666562,,,,15.324100,0.920835,1.013648,0.888619,1.325593
MA,linear,5213,1.279556,2.329920,0.283280,0.713307,4.189328,,,,,,
MA,quadratic,5213,1.240781,2.288422,0.308583,-0.239721,10.645007,0.033882,,,,,
MA,piecewise,5213,1.261977,2.301712,0.300529,,,,15.808168,0.464069,7.586277,0.941764,0.376273
MP,linear,5213,1.297714,2.366684,0.604270,0.882717,1.463029,,,,,,
MP,quadratic,5213,1.296980,2.363312,0.605397,0.995687,1.099046,-0.005538,,,,,
MP,piecewise,5213,1.296205,2.364964,0.604845,,,,15.427069,0.902141,1.293073,0.911108,0.915642
TOTAL,linear,5213,6.538788,12.232075,0.310648,0.842633,17.414785,,,,,,
TOTAL,quadratic,5213,6.494764,12.214375,0.312642,0.427356,30.530572,0.003190,,,,,
TOTAL,piecewise,5213,6.465459,12.192863,0.315061,,,,70.529560,0.705820,25.721711,1.029614,3.130900
