severity,type,description,competition_slug,season,event_name,caption_name,score,count
error,non_standard_caption,"Non-standard caption name found: "Penalties"",,,,Penalties,,8035
error,non_standard_caption,"Non-standard caption name found: "7 Music Ensemble"",,,,7 Music Ensemble,17.1,127
error,non_standard_caption,"Non-standard caption name found: "4 Visual Ensemble"",,,,4 Visual Ensemble,17.4,127
error,non_standard_caption,"Non-standard caption name found: "2 Music Effect"",,,,2 Music Effect,23.8,127
error,non_standard_caption,"Non-standard caption name found: "1 Visual Effect"",,,,1 Visual Effect,23.7,127
error,non_standard_caption,"Non-standard caption name found: "Visual Comm"",,,,Visual Comm,8.8,101
error,non_standard_caption,"Non-standard caption name found: "Music Comm"",,,,Music Comm,9.1,101
error,non_standard_caption,"Non-standard caption name found: "6 Brass"",,,,6 Brass,17.2,101
error,non_standard_caption,"Non-standard caption name found: "5 Color Guard"",,,,5 Color Guard,18.2,101
error,non_standard_caption,"Non-standard caption name found: "8 Percussion"",,,,8 Percussion,17,100
error,non_standard_caption,"Non-standard caption name found: "Visual"",,,,Visual,99.5,39
error,non_standard_caption,"Non-standard caption name found: "Visual Performance"",,,,Visual Performance,93,33
error,non_standard_caption,"Non-standard caption name found: "Overall Impression"",,,,Overall Impression,93,33
error,non_standard_caption,"Non-standard caption name found: "Music Performance"",,,,Music Performance,92,33
error,non_standard_caption,"Non-standard caption name found: "Woodwind"",,,,Woodwind,98,29
error,non_standard_caption,"Non-standard caption name found: "Vocal"",,,,Vocal,97.5,25
error,non_standard_caption,"Non-standard caption name found: "Special Perc"",,,,Special Perc,38.9,12
error,non_standard_caption,"Non-standard caption name found: "Special GE"",,,,Special GE,78.5,12
error,non_standard_caption,"Non-standard caption name found: "Special CG"",,,,Special CG,38.6,12
error,non_standard_caption,"Non-standard caption name found: "Special Brass"",,,,Special Brass,38.9,12
error,non_standard_caption,"Non-standard caption name found: "Special - Visual Proficiency"",,,,Special - Visual Proficiency,38.75,12
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,95,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,90,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,90,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,93,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,97.5,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,95.5,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,89,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,82.5,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,87.5,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",Visual,99.5,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2018-dci-performers-showcase-venue-4,2018,"DCI Performers Showcase - Venue 4",Visual,85,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2018-dci-performers-showcase-venue-4,2018,"DCI Performers Showcase - Venue 4",Visual,83.5,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2018-dci-performers-showcase-venue-4,2018,"DCI Performers Showcase - Venue 4",Visual,89.5,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2017-dci-performers-showcase-venue-4,2017,"DCI Performers Showcase - Venue 4",Visual,88,
error,category_as_caption,"Category name "Visual" appearing as caption (should be in category_scores, not caption_scores)",2017-dci-performers-showcase-venue-4,2017,"DCI Performers Showcase - Venue 4",Visual,86.5,
