kind,judge_id,judge_name,corps_key,corps_name,caption,division,n,mean_residual,raw_mean_residual,shrinkage_mean_residual,se,ci95_low,ci95_high,mean_abs_residual,positive_pct,z,seasons
judge_caption,g-oliviero-1,George Oliviero,,,VP,,56,-1.5671,,-1.3712,0.1869,-1.9335,-1.2007,1.703,0.1786,-8.3825,"2015,2016,2017,2018,2019,2022"
judge_caption,g-markham-1,Garland Markham,,,MB,,38,-1.6248,,-1.3422,0.3876,-2.3844,-0.8651,2.1109,0.4737,-4.192,"2014,2015,2016"
judge_caption,j-webb-1,Jay Webb,,,MP,,66,-1.3854,,-1.2356,0.2217,-1.82,-0.9508,1.5389,0.2273,-6.2481,"2015,2016,2017,2019,2023,2024,2025"
judge_caption,r-greenwell-1,Randy Greenwell,,,MB,,86,-1.2521,,-1.1456,0.2383,-1.7191,-0.7851,1.8165,0.3605,-5.2554,"2014,2016,2018,2019,2022"
judge_caption,m-hoskins-1,Mark Hoskins,,,MA,,48,-1.2199,,-1.0457,0.2552,-1.7201,-0.7198,1.6052,0.3333,-4.7809,"2015,2016,2017,2018,2022,2023"
judge_caption,j-howell-1,John Howell,,,VA,,53,-1.2029,,-1.0451,0.3245,-1.8389,-0.5669,1.7799,0.5849,-3.7069,"2016,2018,2022,2024"
judge_caption,p-mcgarr-1,Paul McGarr,,,GE2,,41,-1.2,,-1.0041,0.3165,-1.8204,-0.5796,1.5125,0.3415,-3.7911,"2015,2016,2019,2023"
judge_caption,g-llacer-1,Greg Llacer,,,VP,,30,-1.2664,,-0.9998,0.1706,-1.6009,-0.932,1.3045,0.1,-7.4217,"2024,2025"
judge_caption,m-hoskins-1,Mark Hoskins,,,GE2,,50,-1.147,,-0.9888,0.2254,-1.5888,-0.7052,1.6405,0.28,-5.0883,"2015,2018,2019,2022,2025"
judge_caption,j-queen-1,Jeff Queen,,,MP,,89,-1.0357,,-0.9503,0.2367,-1.4996,-0.5718,1.615,0.4494,-4.376,"2014,2015,2016,2017,2018"
judge_caption,g-llacer-1,Greg Llacer,,,CG,,42,-1.1301,,-0.9493,0.3034,-1.7247,-0.5355,1.6565,0.5,-3.7252,"2023,2024,2025"
judge_caption,n-jones-1,Nola Jones,,,MB,,69,-1.0365,,-0.9288,0.2174,-1.4626,-0.6105,1.4427,0.3623,-4.7684,"2013,2015,2016,2017,2019,2024,2025"
judge_caption,c-costanza-1,Curtis Costanza,,,VA,,52,-1.0691,,-0.9266,0.2847,-1.6272,-0.5111,1.8091,0.3654,-3.7549,"2013,2016,2017,2019,2022,2024"
judge_caption,s-bertelle-1,Sandra Bertelle,,,GE1,,64,1.0049,,0.8932,0.0951,0.8185,1.1913,1.0909,0.9375,10.566,"2014,2015,2016,2017"
judge_caption,r-overvliet-1,Robby Overvliet,,,CG,,39,0.9657,,0.8014,0.1216,0.7274,1.204,1.0035,0.9487,7.9428,2015
judge_caption,k-weirich-1,Kyle Weirich,,,MB,,76,-0.8264,,-0.7477,0.1936,-1.2058,-0.447,1.2507,0.4079,-4.2693,"2014,2015,2016,2017,2022,2024"
judge_caption,g-oliviero-1,George Oliviero,,,CG,,205,-0.7708,,-0.7419,0.1356,-1.0366,-0.505,1.3373,0.5659,-5.6833,"2013,2014,2015,2016,2017,2018,2019,2022,2025"
judge_caption,g-oliviero-1,George Oliviero,,,GE1,,132,-0.7524,,-0.7094,0.1435,-1.0336,-0.4712,1.1219,0.5303,-5.2435,"2013,2014,2015,2017,2018,2019,2022,2023,2024"
judge_caption,w-whaley-1,WL Whaley,,,MB,,53,0.8141,,0.7074,0.0913,0.6352,0.9931,0.8928,0.8679,8.9176,"2013,2014,2015,2016,2018"
judge_caption,j-kennedy-1,Jay Kennedy,,,MP,,58,0.8049,,0.7073,0.1612,0.4889,1.1209,1.1117,0.8103,4.9922,"2013,2016,2019"
judge_caption,c-quamme-1,Chad Quamme,,,GE1,,32,-0.8815,,-0.7052,0.3335,-1.5352,-0.2277,1.3878,0.5,-2.6428,"2019,2022"
judge_caption,t-hudnall-1,Tim Hudnall,,,CG,,57,-0.7943,,-0.6966,0.1902,-1.1672,-0.4215,1.3431,0.3684,-4.1758,"2022,2023,2024,2025"
judge_caption,k-miller-1,Kyle Miller,,,CG,,118,-0.7433,,-0.6961,0.1593,-1.0555,-0.4311,1.2506,0.4661,-4.6666,"2013,2015,2018,2019,2022,2023,2024"
judge_caption,j-sterrett-1,Jeffrey Sterrett,,,VA,,38,0.8101,,0.6692,0.1879,0.4417,1.1784,0.9978,0.8421,4.3105,2013
judge_caption,l-appel-1,Luther Appel,,,MB,,40,0.799,,0.6658,0.1091,0.5851,1.0129,0.8859,0.9,7.3215,"2013,2014,2016,2017"
judge_caption,e-martinez-1,Ed Martinez,,,GE1,,58,0.756,,0.6644,0.0612,0.6362,0.8759,0.8098,0.9655,12.3617,"2018,2019"
judge_caption,m-mcgahey-1,Mark McGahey,,,MB,,170,-0.6676,,-0.6376,0.1217,-0.9061,-0.429,1.0881,0.5118,-5.4846,"2013,2014,2015,2016,2017,2022,2023,2025"
judge_caption,c-dillon-1,Christine Dillon,,,GE1,,114,0.6793,,0.6348,0.0671,0.5478,0.8108,0.8336,0.8509,10.1234,"2013,2015,2016,2017,2019,2023,2025"
judge_caption,d-deems-1,Don Deems,,,CG,,211,0.6579,,0.6338,0.0836,0.494,0.8217,1.0555,0.8626,7.8694,"2014,2015,2016,2017,2018,2019,2022,2023,2024,2025"
judge_caption,c-nelson-1,Carl Nelson,,,VA,,226,-0.6315,,-0.6099,0.114,-0.8549,-0.4082,1.3025,0.5133,-5.5418,"2013,2014,2015,2016,2017,2018,2019,2022,2023,2024,2025"
judge_caption,r-solomon-1,Robert Solomon,,,GE1,,89,-0.6416,,-0.5887,0.1532,-0.9419,-0.3414,1.141,0.4494,-4.1881,"2017,2018,2019,2022,2024,2025"
judge_caption,t-ochran-1,Timothy Ochran,,,GE1,,153,-0.6159,,-0.5853,0.1075,-0.8266,-0.4052,1.0607,0.4379,-5.7284,"2013,2015,2016,2017,2018,2019,2023,2024,2025"
judge_caption,r-isoda-1,Randolph Isoda,,,MA,,70,-0.6508,,-0.5841,0.171,-0.986,-0.3156,1.102,0.4143,-3.8049,"2013,2014,2015,2016,2017"
judge_caption,j-sturgeon-1,Jim Sturgeon,,,CG,,98,-0.6298,,-0.5822,0.2434,-1.1068,-0.1528,1.5707,0.6327,-2.5878,"2016,2017,2018,2019,2022,2023,2025"
judge_caption,s-chumley-1,Shirl Chumley,,,GE1,,46,-0.671,,-0.5716,0.2055,-1.0738,-0.2682,1.1525,0.4565,-3.2647,"2018,2019,2022,2023,2025"
judge_caption,w-whaley-1,WL Whaley,,,GE2,,121,0.6082,,0.5705,0.0626,0.4856,0.7308,0.7324,0.876,9.7217,"2013,2014,2015,2016,2018,2019"
judge_caption,r-ellis-1,Ron Ellis,,,MB,,34,0.7021,,0.5684,0.0501,0.6039,0.8004,0.7085,0.9706,14.0102,"2017,2018,2019"
judge_caption,s-page-1,Steven Page,,,GE2,,81,0.6234,,0.5674,0.0759,0.4747,0.7722,0.7358,0.8519,8.2135,"2013,2014,2015,2016,2017,2024"
judge_caption,g-boulden-1,George Boulden,,,GE2,,65,0.6335,,0.5641,0.1128,0.4124,0.8546,0.8867,0.8923,5.6168,"2013,2014,2015,2016,2017"
judge_caption,b-spidel-1,Brandon Spidel,,,GE1,,64,-0.6337,,-0.5633,0.1461,-0.92,-0.3474,0.9383,0.375,-4.3386,"2018,2022,2023,2024,2025"
judge_caption,c-nelson-1,Carl Nelson,,,CG,,35,0.6911,,0.5625,0.1488,0.3994,0.9828,0.9557,0.8571,4.6433,"2013,2016,2022,2024"
judge_caption,e-argenziano-1,Ed Argenziano,,,MP,,88,0.6089,,0.5582,0.077,0.4581,0.7598,0.7809,0.8523,7.9105,"2015,2016,2017,2018"
judge_caption,k-weirich-1,Kyle Weirich,,,MA,,148,0.5868,,0.5567,0.0624,0.4645,0.709,0.7978,0.8176,9.405,"2016,2017,2018,2019,2022,2023,2025"
judge_caption,a-kristensen-1,Allan Kristensen,,,MP,,402,-0.5642,,-0.5532,0.0922,-0.7449,-0.3835,1.2993,0.5498,-6.1202,"2013,2014,2015,2016,2017,2018,2019,2022,2023,2024"
judge_caption,j-mills-1,Jeff Mills,,,MB,,102,0.5896,,0.5467,0.0796,0.4336,0.7456,0.8285,0.8431,7.4062,"2017,2018,2019,2022,2023,2024"
judge_caption,s-chumley-1,Shirl Chumley,,,VP,,60,0.618,,0.5453,0.1365,0.3504,0.8855,0.9996,0.7833,4.5276,"2019,2022,2023,2024,2025"
judge_caption,j-mills-1,Jeff Mills,,,GE2,,35,0.6659,,0.542,0.159,0.3542,0.9776,0.8676,0.8857,4.1874,"2017,2022,2023,2025"
judge_caption,d-argul-1,Dennis Argul,,,MB,,281,0.5481,,0.5329,0.0325,0.4844,0.6118,0.6505,0.8719,16.8532,"2014,2015,2016,2017,2019,2024,2025"
judge_caption,j-gilley-1,Jackie Gilley,,,VA,,97,0.576,,0.5321,0.093,0.3938,0.7582,0.8563,0.7732,6.1966,"2014,2015,2016,2017,2022,2023"
judge_caption,p-hinman-1,Paul Hinman,,,MB,,37,0.6458,,0.531,0.1256,0.3996,0.8921,0.848,0.8649,5.1401,"2013,2014,2016,2017"
judge_caption,p-furnari-1,Peter Furnari,,,MA,,137,0.5593,,0.5285,0.0561,0.4495,0.6692,0.7156,0.8978,9.9792,"2016,2017,2018,2019,2025"
judge_caption,m-calima-1,Mark Calima,,,GE2,,63,0.5941,,0.5272,0.0486,0.4988,0.6894,0.6266,0.9524,12.2165,"2016,2017,2018"
judge_caption,b-fabrizio-1,Beth Fabrizio,,,MA,,150,0.549,,0.5212,0.0832,0.3859,0.7121,0.9671,0.8267,6.5962,"2013,2014,2016,2017,2018,2022,2023,2024,2025"
