caption,judge_id,judge_name,appearances,contexts,own_caption_mean,own_caption_abs_mean,own_caption_sd,category_mean,category_abs_mean,total_mean,total_abs_mean,total_sd,positive_pct
MB,p-mcgarr-1,Paul McGarr,61,4,-0.23599844114345103,0.23599844114345103,0.003653242696795575,-0.090575153362634,0.090575153362634,-0.21781426721236485,0.21781426721236485,0.00943576529322281,0
MA,j-kennedy-1,Jay Kennedy,52,4,0.1199771479021905,0.1199771479021905,0.0041198666282288255,0.08881947638938392,0.08881947638938392,0.040025448376965755,0.040025448376965755,0.014595186432188295,1
VP,j-orefice-1,Juno Orefice,61,4,0.1118564089172942,0.1118564089172942,0.0028423361179512577,0.04732093978477003,0.04732093978477003,-0.010414168823956516,0.010414168823956516,0.00458856002206282,1
MP,m-leitzke-1,Mike Leitzke,71,4,-0.10673552496156358,0.10673552496156358,0.002147211925494587,-0.0732540894579925,0.0732540894579925,-0.11103693244573165,0.11103693244573165,0.005693787450711067,0
VA,t-ochran-1,Timothy Ochran,59,4,0.08534304602820075,0.08534304602820075,0.0016812266159708263,0.05638289368813698,0.05638289368813698,0.06605050246915312,0.06605050246915312,0.002568047731322335,1
GE1,k-miller-1,Kyle Miller,50,4,-0.08096159114343848,0.08096159114343848,0.0015046714484903056,0.0000472077384330305,0.002695518018249743,-0.024345807112371887,0.024345807112371887,0.005408073293698487,0
MA,d-carbone-1,Dave Carbone,42,4,-0.08092064354670292,0.08092064354670292,0.001441385461757755,-0.026799285346020163,0.026799285346020163,0.09473266660048196,0.09473266660048196,0.005191066155964151,0
CG,m-thompson-1,Michael Thompson,43,4,0.07549543275739534,0.07549543275739534,0.007388828926757689,-0.09622913538169531,0.09622913538169531,-0.22969050137686153,0.22969050137686153,0.013193322310118974,1
GE1,m-stone-1,Michael Stone,51,4,-0.0750110137981368,0.0750110137981368,0.002947343909954546,0.0025300717027576525,0.002936087484066263,-0.05175216553350381,0.05175216553350381,0.008448142571546274,0
GE2,n-jones-1,Nola Jones,66,4,-0.06570790529956039,0.06570790529956039,0.004067782513732992,-0.030153029460802117,0.030153029460802117,-0.07749164577839096,0.07749164577839096,0.013033550451747745,0
MP,m-davis-1,Mike Davis,73,4,0.05464561088255149,0.05464561088255149,0.000839821134460252,0.044743247270633724,0.044743247270633724,0.08865267206542526,0.08865267206542526,0.0043071304544500715,1
VA,d-torchia-1,Debbie Torchia,48,4,-0.05401246012265659,0.05401246012265659,0.0014414756712216553,-0.04438887864693175,0.04438887864693175,-0.04490712411834963,0.04490712411834963,0.0035523162576219076,0
MB,m-hoskins-1,Mark Hoskins,56,4,0.031227569333471372,0.031227569333471372,0.0038681391518903306,0.013206589928334012,0.013206589928334012,-0.07287044248881003,0.07287044248881003,0.011347089015280214,1
VP,c-nelson-1,Carl Nelson,61,4,0.025563050446892,0.025563050446892,0.00166933947057761,0.017566831146364592,0.017566831146364592,0.06380010779471945,0.06380010779471945,0.005599264296569943,1
GE2,g-fugett-1,Glenn Fugett,51,4,-0.01220459508588867,0.01220459508588867,0.0014363504330373047,-0.05277985926049311,0.05277985926049311,-0.04208449038428341,0.04208449038428341,0.011974990301434651,0
CG,h-nguyen-1,Hieu Nguyen,49,4,-0.005521941467357294,0.007422397424672766,0.006231923004476117,-0.07644684852208883,0.07644684852208883,-0.003990394307120226,0.006496895973274519,0.0073636729434257316,0.25
