trial_id,epoch,train_loss,val_loss,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,0,1.348209,0.719824,0.0005,62.57,64,32,0.3,32
default,1,1.108966,0.637069,0.0005,118.43,64,32,0.3,32
default,2,1.021775,0.598387,0.0005,178.61,64,32,0.3,32
default,3,0.955123,0.560706,0.0005,262.49,64,32,0.3,32
default,4,0.889362,0.528005,0.0005,342.52,64,32,0.3,32
default,5,0.854442,0.520163,0.0005,407.77,64,32,0.3,32
default,6,0.819071,0.506793,0.0005,488.49,64,32,0.3,32
default,7,0.809723,0.512412,0.0005,561.96,64,32,0.3,32
default,8,0.789319,0.490808,0.0005,613.58,64,32,0.3,32
default,9,0.772451,0.480617,0.0005,667.42,64,32,0.3,32
default,10,0.758876,0.471731,0.0005,719.70,64,32,0.3,32
default,11,0.757491,0.476449,0.0005,771.26,64,32,0.3,32
default,12,0.746673,0.479219,0.0005,826.27,64,32,0.3,32
default,13,0.740694,0.472889,0.0005,885.24,64,32,0.3,32
default,14,0.741550,0.462370,0.0005,954.65,64,32,0.3,32
default,15,0.730663,0.470211,0.0005,1023.04,64,32,0.3,32
default,16,0.719001,0.483104,0.0005,1094.09,64,32,0.3,32
default,17,0.720285,0.464067,0.0005,1173.14,64,32,0.3,32
default,18,0.718936,0.467086,0.0005,1246.96,64,32,0.3,32
default,19,0.713118,0.449956,0.0005,1313.89,64,32,0.3,32
default,20,0.708248,0.453843,0.0005,1372.51,64,32,0.3,32
default,21,0.717778,0.456696,0.0005,1426.98,64,32,0.3,32
default,22,0.712588,0.444557,0.0005,1497.56,64,32,0.3,32
default,23,0.699537,0.442081,0.0005,1579.20,64,32,0.3,32
default,24,0.700294,0.457994,0.0005,1642.06,64,32,0.3,32
default,25,0.696388,0.447716,0.0005,1705.37,64,32,0.3,32
default,26,0.692094,0.449823,0.0005,1787.53,64,32,0.3,32
default,27,0.700119,0.458626,0.0005,1869.02,64,32,0.3,32
default,28,0.696028,0.447825,0.0005,1950.06,64,32,0.3,32
default,29,0.690065,0.444866,0.0005,2026.80,64,32,0.3,32
default,30,0.690427,0.441227,0.0005,2094.07,64,32,0.3,32
default,31,0.682647,0.465462,0.0005,2175.47,64,32,0.3,32
default,32,0.686919,0.441978,0.0005,2245.95,64,32,0.3,32
default,33,0.682888,0.442977,0.0005,2310.31,64,32,0.3,32
default,34,0.676064,0.433334,0.0005,2381.01,64,32,0.3,32
default,35,0.676756,0.436703,0.0005,2431.80,64,32,0.3,32
default,36,0.672584,0.434648,0.0005,2498.63,64,32,0.3,32
default,37,0.673140,0.439318,0.0005,2561.22,64,32,0.3,32
default,38,0.675317,0.442739,0.0005,2616.20,64,32,0.3,32
default,39,0.672202,0.432258,0.0005,2680.52,64,32,0.3,32
default,40,0.674169,0.443820,0.0005,2764.10,64,32,0.3,32
default,41,0.668771,0.436976,0.0005,2849.01,64,32,0.3,32
trial_id,epoch,train_loss,val_loss,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,0,1.717557,0.815910,0.0005,92.38,64,32,0.3,32
default,42,0.670855,0.443756,0.0005,2933.21,64,32,0.3,32
default,43,0.670259,0.446139,0.0005,3019.00,64,32,0.3,32
default,1,1.185622,0.693133,0.0005,186.42,64,32,0.3,32
trial_id,epoch,train_loss,val_loss,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,0,1.844941,0.813272,0.0005,97.24,64,32,0.3,32
default,44,0.659032,0.444603,0.0005,3103.78,64,32,0.3,32
default,2,1.080714,0.644144,0.0005,281.38,64,32,0.3,32
default,1,1.192562,0.713189,0.0005,192.09,64,32,0.3,32
default,45,0.668808,0.451160,0.0005,3190.94,64,32,0.3,32
default,3,1.007346,0.604315,0.0005,376.18,64,32,0.3,32
default,2,1.087429,0.645282,0.0005,287.12,64,32,0.3,32
default,46,0.665621,0.433456,0.0005,3278.16,64,32,0.3,32
default,4,0.948918,0.587630,0.0005,473.06,64,32,0.3,32
default,47,0.665393,0.438758,0.0005,3346.80,64,32,0.3,32
default,3,1.017775,0.616259,0.0005,385.20,64,32,0.3,32
default,5,0.917580,0.558569,0.0005,572.69,64,32,0.3,32
default,48,0.658347,0.431415,0.0005,3424.76,64,32,0.3,32
default,4,0.972676,0.595372,0.0005,481.87,64,32,0.3,32
