trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size,width_floor_pts,width_floor_weight,width_norm,width_floor_pct,mae_pts_GE1,mae_pts_GE2,mae_pts_VP,mae_pts_VA,mae_pts_CG,mae_pts_MB,mae_pts_MA,mae_pts_MP,cov_10_90_GE1,cov_10_90_GE2,cov_10_90_VP,cov_10_90_VA,cov_10_90_CG,cov_10_90_MB,cov_10_90_MA,cov_10_90_MP,width_10_90_GE1,width_10_90_GE2,width_10_90_VP,width_10_90_VA,width_10_90_CG,width_10_90_MB,width_10_90_MA,width_10_90_MP
default,0,30.946533,37.034203,4.445004,4.729773,0.000500,4.17,64,32,0.3,32,0.5,0.05,3.765,0.329,34.2343,2.2880,17.2769,6.3570,4.8259,13.3172,12.7937,7.8717,0.190,0.650,0.060,0.050,0.790,0.350,0.010,0.000,30.716,11.190,14.535,0.341,11.568,23.315,0.419,0.356
default,0,12.360701,2.183502,2.020995,0.737983,0.000160,99.04,64,32,0.3,32,0.5,0.05,2.113,0.051,2.6948,3.8190,2.3344,0.2681,1.6043,3.5176,1.3976,1.6666,0.814,0.809,0.738,0.717,0.705,0.712,0.622,0.874,7.536,13.310,6.556,0.641,2.970,8.307,3.068,7.060
default,1,2.334238,1.422009,0.731090,0.521696,0.000320,196.81,64,32,0.3,32,0.5,0.05,1.309,0.078,2.4683,1.3416,2.0923,0.1855,1.2931,2.5631,1.3389,1.2342,0.780,0.717,0.717,0.833,0.777,0.702,0.465,0.634,6.710,3.623,5.960,0.544,2.739,6.074,2.943,2.867
default,2,1.789660,1.186652,0.551539,0.409225,0.000480,286.75,64,32,0.3,32,0.5,0.05,1.106,0.108,2.3462,0.7869,1.7985,0.1240,0.9979,2.0463,0.9581,0.9874,0.777,0.748,0.748,0.692,0.809,0.775,0.833,0.794,6.735,1.920,5.538,0.376,2.104,5.530,2.590,2.537
default,3,1.607081,1.122139,0.466444,0.367683,0.000640,384.67,64,32,0.3,32,0.5,0.05,0.873,0.109,2.0289,0.7504,1.7180,0.1088,0.9026,1.7799,0.8677,0.8573,0.697,0.731,0.654,0.673,0.581,0.705,0.843,0.751,5.258,1.579,4.323,0.322,1.420,4.131,2.303,2.090
default,4,1.555282,1.430202,0.441789,0.346916,0.000800,493.53,64,32,0.3,32,0.5,0.05,0.904,0.107,1.9059,1.0177,1.5539,0.0745,0.6940,1.6063,0.7497,0.9464,0.746,0.344,0.743,0.886,0.753,0.794,0.877,0.804,5.045,1.588,4.317,0.345,1.472,4.231,2.229,2.763
default,5,1.470919,1.164895,0.411377,0.342822,0.000800,612.05,64,32,0.3,32,0.5,0.05,0.929,0.109,1.8852,1.0314,1.4871,0.0589,0.7683,1.5044,0.7834,0.9387,0.833,0.550,0.758,0.961,0.603,0.838,0.869,0.719,5.922,1.958,4.245,0.321,1.189,4.942,2.177,2.265
default,6,1.406092,1.056729,0.396637,0.351764,0.000800,728.25,64,32,0.3,32,0.5,0.05,0.905,0.114,1.7477,0.8995,1.6072,0.0643,0.8180,1.5912,1.0180,0.8842,0.816,0.828,0.659,0.956,0.567,0.734,0.564,0.787,5.146,2.252,3.945,0.301,1.559,4.245,2.007,2.625
default,7,1.382464,1.061103,0.380860,0.334095,0.000800,834.25,64,32,0.3,32,0.5,0.05,0.718,0.115,1.9987,0.6369,1.5617,0.1099,0.6816,1.8141,0.6904,0.7639,0.627,0.726,0.663,0.751,0.651,0.530,0.828,0.748,4.504,1.278,3.412,0.307,1.306,3.379,1.707,1.654
default,8,1.342528,1.067876,0.365313,0.320758,0.000800,936.64,64,32,0.3,32,0.5,0.05,0.827,0.118,1.8114,0.7344,1.6104,0.0911,0.7429,1.3591,0.7468,0.7740,0.847,0.627,0.637,0.891,0.661,0.760,0.697,0.770,5.421,1.385,4.749,0.294,1.603,3.356,1.607,2.069
default,9,1.316106,1.047077,0.358171,0.302986,0.000800,1039.28,64,32,0.3,32,0.5,0.05,0.827,0.113,1.6837,0.6537,1.4623,0.0941,0.6059,1.4807,0.7298,0.7250,0.770,0.678,0.695,0.814,0.847,0.794,0.811,0.806,4.378,1.395,3.602,0.308,1.531,4.072,2.901,1.848
default,10,1.296804,1.078238,0.354704,0.326508,0.000800,1171.29,64,32,0.3,32,0.5,0.05,0.825,0.122,1.6199,0.8125,1.5102,0.0447,0.8894,1.3352,0.9228,0.8838,0.818,0.775,0.806,0.942,0.412,0.855,0.395,0.646,4.763,1.978,4.393,0.279,1.481,4.271,1.422,1.784
default,11,1.283766,0.994381,0.350844,0.292530,0.000800,1281.77,64,32,0.3,32,0.5,0.05,0.742,0.113,1.5975,0.6336,1.3150,0.0974,0.7539,1.3400,0.6296,0.7450,0.809,0.811,0.847,0.937,0.690,0.722,0.831,0.734,4.564,1.511,4.218,0.340,1.256,2.913,1.554,1.711
default,12,1.275563,1.060057,0.337966,0.299401,0.000800,1406.63,64,32,0.3,32,0.5,0.05,0.773,0.121,1.6488,0.7425,1.4397,0.0981,0.5935,1.4347,0.6564,0.7097,0.799,0.598,0.794,0.755,0.835,0.785,0.775,0.797,4.478,1.435,3.997,0.290,1.433,4.058,1.672,1.665
