trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,0,15.808698,3.290389,6.204015,3.699023,0.000100,122.92,64,32,0.3,32
default,1,3.583490,0.963433,3.026865,2.378154,0.000200,243.18,64,32,0.3,32
default,2,2.299180,0.945349,2.442071,2.315873,0.000300,349.26,64,32,0.3,32
default,3,1.986301,0.656940,2.409788,2.289208,0.000400,437.92,64,32,0.3,32
default,4,1.849466,0.740553,2.352803,2.201982,0.000500,548.83,64,32,0.3,32
default,5,1.878096,0.643653,2.324532,2.127057,0.000500,674.06,64,32,0.3,32
default,6,2.016711,0.635305,2.253990,2.150476,0.000500,797.20,64,32,0.3,32
default,7,1.841895,0.662522,2.270121,2.117442,0.000500,923.26,64,32,0.3,32
default,8,1.529943,0.635000,2.204508,2.063157,0.000499,1046.24,64,32,0.3,32
default,9,1.523409,0.710770,2.178964,2.073967,0.000499,1165.84,64,32,0.3,32
default,10,1.607138,0.641753,2.166529,2.077769,0.000498,1286.08,64,32,0.3,32
default,11,1.427348,0.588758,2.155877,2.033063,0.000497,1406.48,64,32,0.3,32
default,12,1.417942,0.608421,2.126022,2.018409,0.000496,1524.59,64,32,0.3,32
default,13,1.378758,0.764274,2.094655,2.028254,0.000495,1644.06,64,32,0.3,32
default,14,1.307328,0.584641,2.276702,2.262324,0.000493,1764.35,64,32,0.3,32
default,15,1.416103,0.766469,2.347678,2.281591,0.000492,1883.49,64,32,0.3,32
default,16,1.278661,0.733297,2.292413,2.231219,0.000490,2004.08,64,32,0.3,32
default,17,1.312011,0.550967,2.307141,2.257002,0.000488,2123.15,64,32,0.3,32
default,18,1.275291,0.534230,2.276723,2.224253,0.000486,2239.56,64,32,0.3,32
default,19,1.272846,0.608916,2.261684,2.215070,0.000484,2346.00,64,32,0.3,32
default,20,1.205048,0.761741,2.267142,2.234920,0.000481,2437.83,64,32,0.3,32
default,21,1.199903,0.605147,2.259638,2.179818,0.000479,2534.02,64,32,0.3,32
default,22,1.199002,0.581374,2.246525,2.226651,0.000476,2637.95,64,32,0.3,32
default,0,32.606261,1.994557,2.094019,0.747542,0.000100,71.95,64,32,0.3,32
default,1,3.139638,0.881781,0.956451,0.470429,0.000200,142.91,64,32,0.3,32
default,2,2.031285,0.738639,0.628484,0.342697,0.000300,213.48,64,32,0.3,32
default,3,1.912639,0.638342,0.510311,0.289109,0.000400,285.88,64,32,0.3,32
default,4,1.564443,0.488706,0.463101,0.240480,0.000500,384.58,64,32,0.3,32
default,5,1.327857,0.432157,0.393023,0.230560,0.000500,500.17,64,32,0.3,32
default,6,1.427652,0.474412,0.354017,0.238705,0.000500,611.90,64,32,0.3,32
default,7,1.370328,0.538125,0.366392,0.215500,0.000500,713.06,64,32,0.3,32
default,8,1.069278,0.586219,0.321857,0.198731,0.000499,791.66,64,32,0.3,32
default,9,1.110516,0.372752,0.321093,0.186111,0.000499,862.20,64,32,0.3,32
default,10,1.060384,0.386824,0.304948,0.217733,0.000498,932.68,64,32,0.3,32
default,11,1.505869,0.349393,0.295434,0.183411,0.000497,1008.29,64,32,0.3,32
default,12,0.922801,0.407345,0.278046,0.172585,0.000496,1089.72,64,32,0.3,32
default,13,1.061743,0.477585,0.275356,0.203968,0.000495,1208.24,64,32,0.3,32
default,14,0.960342,0.326595,0.271758,0.171703,0.000493,1286.98,64,32,0.3,32
default,15,1.364707,0.452913,0.266216,0.169011,0.000492,1361.22,64,32,0.3,32
default,0,62.063974,3.080918,3.335567,0.913223,0.000100,84.70,64,32,0.3,32
default,1,4.267037,0.873636,1.067593,0.437120,0.000200,202.33,64,32,0.3,32
default,2,2.129657,0.754304,0.664623,0.353263,0.000300,320.08,64,32,0.3,32
default,3,1.596133,0.645713,0.487788,0.298983,0.000400,435.83,64,32,0.3,32
default,4,1.443529,0.632218,0.413016,0.257476,0.000500,530.30,64,32,0.3,32
default,5,1.543893,0.482848,0.389664,0.246343,0.000500,647.38,64,32,0.3,32
default,6,1.335710,0.480879,0.370097,0.248982,0.000500,752.60,64,32,0.3,32
default,7,1.086933,0.506613,0.334511,0.255008,0.000500,863.42,64,32,0.3,32
default,8,1.130657,0.473224,0.328818,0.259992,0.000499,981.52,64,32,0.3,32
default,9,1.061460,0.395518,0.317168,0.250737,0.000499,1095.33,64,32,0.3,32
default,10,1.565127,0.453243,0.317669,0.196461,0.000498,1208.79,64,32,0.3,32
default,11,1.171148,0.369219,0.304749,0.213520,0.000497,1322.31,64,32,0.3,32
default,12,1.094506,0.567987,0.288289,0.195101,0.000496,1439.81,64,32,0.3,32
default,13,1.046214,0.467428,0.296210,0.209698,0.000495,1534.17,64,32,0.3,32
default,14,0.932251,0.336710,0.270051,0.186442,0.000493,1623.41,64,32,0.3,32
default,15,1.135120,0.477374,0.276892,0.250913,0.000492,1710.12,64,32,0.3,32
default,0,103.779847,1.879099,2.493755,0.792980,0.000100,80.52,64,32,0.3,32,2.9656,0.3837,3.3362,1.5105,0.5773,5.4813,0.7506,0.4548,0.833,0.748,0.905,0.365,0.896,0.918,0.926,0.868,12.244,1.485,10.534,1.225,2.443,12.585,1.849,2.049
default,16,0.980751,0.502531,0.264907,0.211794,0.000490,1787.93,64,32,0.3,32
default,1,2.952922,0.916450,1.039680,0.508788,0.000200,159.84,64,32,0.3,32,2.4503,0.3778,2.0019,0.5471,0.4184,4.8796,0.3116,0.3108,0.870,0.901,0.931,0.860,0.925,0.921,0.971,0.860,13.268,1.312,9.679,1.209,2.104,8.841,1.721,1.276
default,17,0.928484,0.562448,0.261397,0.168539,0.000488,1865.13,64,32,0.3,32
default,2,2.243541,1.016306,0.694110,0.393665,0.000300,238.62,64,32,0.3,32,2.1890,0.2221,1.7913,0.3379,0.2643,4.0172,0.2732,0.2525,0.801,0.958,0.901,0.956,0.910,0.935,0.872,0.797,8.992,1.297,7.279,1.137,1.664,8.368,1.222,0.813
default,18,0.908843,0.343574,0.255099,0.174036,0.000486,1942.15,64,32,0.3,32
default,3,1.613779,0.579262,0.534005,0.312549,0.000400,316.61,64,32,0.3,32,1.9695,0.1977,1.7904,0.2137,0.1699,3.1146,0.1531,0.2228,0.689,0.942,0.901,0.947,0.947,0.935,0.934,0.827,6.862,0.947,6.783,0.845,1.723,7.609,0.849,0.814
default,19,0.860516,0.412636,0.240161,0.180373,0.000484,2018.53,64,32,0.3,32
default,4,1.764758,0.648486,0.443231,0.316207,0.000500,394.69,64,32,0.3,32,2.0449,0.1724,1.6572,0.4075,0.1844,2.5209,0.1695,0.2123,0.771,0.968,0.926,0.827,0.929,0.839,0.790,0.572,9.106,1.122,7.860,0.745,1.113,5.454,0.574,0.364
default,20,0.960214,0.623476,0.262199,0.163602,0.000481,2095.54,64,32,0.3,32
default,5,1.322278,0.489722,0.389211,0.255307,0.000500,474.25,64,32,0.3,32,1.8004,0.1676,1.3916,0.1053,0.2280,1.9623,0.2012,0.1998,0.790,0.919,0.762,0.783,0.949,0.940,0.597,0.905,7.308,0.724,4.975,0.619,1.033,7.042,0.542,0.576
default,21,0.916977,0.528271,0.240093,0.177071,0.000479,2172.58,64,32,0.3,32
default,6,1.191318,0.417226,0.344792,0.234094,0.000500,551.48,64,32,0.3,32,1.8990,0.1310,1.4295,0.1531,0.1541,1.6650,0.1000,0.2370,0.773,0.707,0.862,0.894,0.880,0.967,0.479,0.651,7.460,0.398,5.631,0.491,0.545,8.314,0.414,0.315
default,22,0.896795,0.401395,0.238648,0.157997,0.000476,2248.62,64,32,0.3,32
default,7,4.588965,0.591100,0.358231,0.223332,0.000500,629.12,64,32,0.3,32,2.0000,0.1274,1.3939,0.0810,0.1190,1.6387,0.1224,0.2353,0.803,0.502,0.835,0.972,0.806,0.906,0.841,0.488,7.117,0.374,5.874,0.784,0.353,6.877,0.457,0.265
default,23,0.877473,0.308249,0.255840,0.155194,0.000473,2327.72,64,32,0.3,32
default,8,1.045599,0.487944,0.301328,0.235161,0.000499,712.06,64,32,0.3,32,1.7205,0.1530,1.5619,0.1756,0.1145,1.5123,0.2339,0.1443,0.802,0.960,0.885,0.946,0.905,0.870,0.898,0.918,6.380,0.853,5.780,0.630,0.561,5.067,0.498,0.439
default,24,0.856277,0.453053,0.237687,0.227933,0.000470,2409.66,64,32,0.3,32
default,9,1.033707,0.399369,0.294473,0.225312,0.000499,792.25,64,32,0.3,32,1.6763,0.0877,1.3749,0.1105,0.0978,1.6637,0.0853,0.3789,0.708,0.969,0.901,0.663,0.916,0.892,0.979,0.946,5.838,0.909,6.836,0.443,0.592,5.992,0.706,0.458
default,25,0.836783,0.381811,0.227826,0.149709,0.000467,2487.56,64,32,0.3,32
default,10,1.294915,0.385200,0.285168,0.202743,0.000498,870.84,64,32,0.3,32,1.6782,0.0838,1.3642,0.2629,0.1047,1.4398,0.0680,0.1157,0.558,0.939,0.790,0.940,0.908,0.750,0.612,0.888,6.096,0.761,4.992,0.563,0.459,5.621,0.215,1.022
default,26,0.946463,0.361079,0.228766,0.166982,0.000464,2565.27,64,32,0.3,32
default,11,1.010223,0.339867,0.276698,0.173672,0.000497,978.18,64,32,0.3,32,1.7059,0.0579,1.3411,0.0413,0.0968,1.5879,0.0752,0.0965,0.698,0.832,0.841,0.916,0.952,0.802,0.978,0.975,4.821,0.549,4.903,0.492,0.655,4.523,0.596,0.512
default,27,0.847696,0.473441,0.224826,0.155251,0.000461,2684.42,64,32,0.3,32
default,12,1.219437,0.433552,0.274920,0.189150,0.000496,1071.82,64,32,0.3,32,1.6143,0.0608,1.4442,0.0444,0.1667,1.4219,0.0706,0.1809,0.901,0.773,0.841,0.557,0.966,0.886,0.879,0.980,8.190,0.323,5.093,0.212,0.630,5.417,0.553,0.480
default,28,0.882797,0.322611,0.216842,0.159908,0.000457,2763.95,64,32,0.3,32
default,13,1.019657,0.475259,0.268620,0.184927,0.000495,1150.61,64,32,0.3,32,1.6036,0.1417,1.3379,0.0437,0.0980,1.5219,0.0817,0.1282,0.810,0.931,0.906,0.207,0.717,0.850,0.995,0.996,6.000,0.499,5.868,0.185,0.316,4.748,0.962,0.841
default,29,0.922356,0.334370,0.252065,0.157254,0.000453,2841.57,64,32,0.3,32
default,14,1.686797,0.406010,0.291035,0.195335,0.000493,1229.24,64,32,0.3,32,1.6355,0.1809,1.3098,0.0456,0.0734,1.4386,0.2129,0.0846,0.498,0.449,0.809,0.524,0.979,0.730,0.157,0.746,4.344,0.244,5.330,0.375,0.732,3.614,0.171,0.356
default,30,0.783732,0.350508,0.220424,0.161948,0.000450,2918.94,64,32,0.3,32
default,15,0.993176,0.426981,0.244635,0.164170,0.000492,1307.82,64,32,0.3,32,1.5852,0.0691,1.3657,0.0666,0.0645,1.3276,0.0862,0.0840,0.746,0.896,0.893,0.822,0.995,0.784,0.623,0.995,5.492,0.319,5.831,0.289,1.055,4.385,0.429,0.591
default,31,0.825473,0.300056,0.229150,0.166226,0.000446,2997.08,64,32,0.3,32
default,16,1.166129,0.573252,0.249317,0.210703,0.000490,1400.52,64,32,0.3,32,1.6206,0.0576,1.3393,0.2832,0.1071,1.3994,0.1683,0.1089,0.822,0.886,0.859,0.998,0.475,0.892,0.925,0.994,5.869,0.326,5.310,0.849,0.248,5.133,0.337,0.531
default,32,0.759009,0.358328,0.213071,0.158382,0.000442,3098.28,64,32,0.3,32
default,17,1.074934,0.413513,0.253085,0.171428,0.000488,1506.43,64,32,0.3,32,1.5441,0.1283,1.4755,0.0630,0.0899,1.2936,0.0724,0.0640,0.910,0.974,0.835,0.678,0.921,0.800,0.920,0.982,8.295,0.956,4.720,0.787,0.634,4.205,0.315,0.375
default,33,0.699847,0.296953,0.213918,0.144919,0.000437,3201.04,64,32,0.3,32
default,18,0.908460,0.319313,0.230744,0.155602,0.000486,1613.93,64,32,0.3,32,1.5409,0.0462,1.2870,0.0594,0.0646,1.4267,0.0592,0.0761,0.939,0.980,0.927,0.441,0.988,0.888,0.965,0.642,7.837,0.886,6.435,0.173,0.654,5.284,0.391,0.305
default,34,0.734888,0.304669,0.210898,0.142742,0.000433,3309.11,64,32,0.3,32
