estimator,division,metric,group,count,mean,sd,mae,rmse,medianAbs,p75Abs,p90Abs,p95Abs,min,max,impliedObservationSigma,impliedNormalMae,note
adjacent_show_delta,Open Class,GE1,all,2010,0.27847,0.865296,0.632823,0.908796,0.4,0.85,1.4,1.8,-5.6,4.3,0.611856,0.488191,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,GE1,gap<=14d,1944,0.218634,0.798132,0.585018,0.827337,0.4,0.8,1.25,1.6,-5.6,3.9,0.564364,0.450297,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,GE1,gap<=3d,1632,0.128171,0.755191,0.531817,0.765762,0.4,0.7,1.1,1.5,-5.6,2.6,0.534,0.426071,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,GE1,gap<=7d,1840,0.17928,0.775605,0.559198,0.795851,0.4,0.8,1.2,1.6,-5.6,3.6,0.548436,0.437588,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,GE2,all,2010,0.264266,0.833241,0.597699,0.873946,0.4,0.8,1.4,1.9,-4.35,5.1,0.58919,0.470106,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,GE2,gap<=14d,1944,0.206983,0.769069,0.55153,0.796244,0.4,0.7,1.2,1.6,-4.35,4.4,0.543814,0.433901,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,GE2,gap<=3d,1632,0.116039,0.677655,0.481173,0.687313,0.3,0.65,1.0975,1.3,-4.35,3,0.479174,0.382326,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,GE2,gap<=7d,1840,0.158084,0.720893,0.513736,0.737831,0.4,0.7,1.1,1.5,-4.35,3.7,0.509748,0.40672,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VP,all,2010,0.292736,0.791298,0.591542,0.843525,0.4,0.8,1.3,1.8,-4,4.8,0.559532,0.446442,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VP,gap<=14d,1944,0.241255,0.733149,0.550103,0.771644,0.4,0.8,1.2,1.6,-4,3.5,0.518414,0.413635,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VP,gap<=3d,1632,0.146752,0.675673,0.489522,0.691224,0.4,0.7,1,1.4,-4,3,0.477773,0.381208,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VP,gap<=7d,1840,0.197663,0.693175,0.516793,0.720626,0.4,0.7,1.1,1.5,-4,3,0.490149,0.391082,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VA,all,2010,0.294751,0.86141,0.621517,0.91024,0.4,0.8,1.4,1.9,-4.9,4.5,0.609109,0.485998,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VA,gap<=14d,1944,0.240818,0.802764,0.577032,0.83791,0.4,0.8,1.3,1.7,-4.9,4.5,0.56764,0.452911,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VA,gap<=3d,1632,0.146354,0.735864,0.515472,0.750056,0.4,0.7,1.1,1.5,-4.9,3.6,0.520335,0.415167,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,VA,gap<=7d,1840,0.196929,0.767491,0.545516,0.792152,0.4,0.7,1.2,1.5,-4.9,3.9,0.542698,0.433011,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,CG,all,2010,0.294662,0.873253,0.632303,0.921421,0.4,0.8,1.405,1.9,-4.1,5.2,0.617483,0.49268,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,CG,gap<=14d,1944,0.244738,0.810893,0.590036,0.846821,0.4,0.8,1.3,1.8,-4.1,3.8,0.573388,0.457498,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,CG,gap<=3d,1632,0.138952,0.728143,0.510925,0.741064,0.3,0.7,1.1,1.4,-4.1,3,0.514875,0.410811,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,CG,gap<=7d,1840,0.193625,0.769138,0.551592,0.792932,0.4,0.7,1.2,1.7,-4.1,3.7,0.543862,0.433939,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MB,all,2010,0.280945,0.735639,0.56995,0.78729,0.4,0.8,1.2,1.6,-3.5,5.3,0.520175,0.41504,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MB,gap<=14d,1944,0.232047,0.674792,0.52963,0.713411,0.4,0.7,1.1,1.4,-3.5,3.4,0.47715,0.380711,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MB,gap<=3d,1632,0.155944,0.618101,0.473897,0.637286,0.3,0.7,1,1.2,-3.5,2.8,0.437064,0.348726,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
