Corps Name,Type,Contact Person,Email,Phone,Website,City,State,Zip,Address,Latitude,Longitude
"Santa Clara Vanguard","Corps, World Class","Santa Clara Vanguard","","(408) 727-5532","web.archive.org/web/20260120145801/http://www.scvanguard.org","Santa Clara","CA","95054","1795 Space Park Drive",37.376617,-121.958065
"Atlanta CV","Corps, All Age","Atlanta CV","","","web.archive.org/web/20260120145801/http://atlantacv.org","Powder Springs","GA","30127","34 Kacey Court",33.837297,-84.751271
"Blue Knights","Corps, World Class","Blue Knights","","(303) 777-1937","web.archive.org/web/20260120145801/http://www.ascendperformingarts.org","Aurora","CO","80010","3538 Peoria St
Suite #500",39.766012,-104.844841
"Blue Stars","Corps, World Class","Blue Stars","","(608) 782-3219","web.archive.org/web/20260120145801/http://www.bluestars.org","La Crosse","WI","54602","P.O. Box 2523",43.8131,-91.2495
"Bluecoats","Corps, World Class","Bluecoats","","(330) 353-3999","web.archive.org/web/20260120145801/http://www.bluecoats.com","N. Canton","OH","44720","340 Mississippi Ave SE",40.865703,-81.394305
"Boston Crusaders","Corps, World Class","Boston Crusaders","","(708) 989-8265","web.archive.org/web/20260120145801/http://www.bostoncrusaders.org","Boston","MA","02136","47 Fairmount Ave",42.255147,-71.120691
"7th Regiment","Corps, Open Class","7th Regiment","","(315) 542-0692","web.archive.org/web/20260120145801/http://www.7thregiment.org","New London","CT","06320","P.O.Box 64",41.3523,-72.1044
"Sonus Brass Theater","Performance Ensemble, Soundsport","Sean","sean.peck@shenandoahsound.org","(703) 850-4125","www.sonusbrasstheater.org","Woodbridge","VA","22195","P.O. Box 1975",38.6329,-77.2694
"Madison Scouts","Corps, World Class","Madison Scouts","","(859) 803-3463","web.archive.org/web/20260120145801/http://www.madisonscouts.org","Madison","WI","53711","2935 S Fish Hatchery Rd #401",43.014439,-89.427275
"Genesis","Corps, World Class","Genesis","","(512) 538-4023","web.archive.org/web/20260120145801/http://www.genesisdbc.org","Austin","TX","78704","PO Box 42038",30.2438,-97.7639
"Gold","Corps, Open Class","Gold","","(310) 779-4805","web.archive.org/web/20260120145801/http://golddrumcorps.org","Lemon Grove","CA","91946","PO Box 1715",32.7425,-117.0305
"Golden Empire","Corps, Open Class","Golden Empire","","(661) 900-0989","web.archive.org/web/20260120145801/http://www.geperformingarts.org","Bakersfield","CA","93305","1801 Panorama Dr.
BC Foundation - GE Performing Arts",35.3871,-118.9868
"Govenaires","Corps, All Age","Govenaires","","(218) 464-3287","web.archive.org/web/20260120145801/https://www.govenaires.org","St. Peter","MN","56082","PO Box 235",44.3406,-93.9913
"Guardians","Corps, Open Class","Guardians","","","web.archive.org/web/20260120145801/http://www.guardiansdbc.org","San Antonio","TX","78278","PO Box 782406",29.4648,-98.5231
"Heat Wave","Corps, Open Class","Heat Wave","","","web.archive.org/web/20260120145801/https://www.heat-wave.org","Safety Harbor","FL","34695","690 Main St #303",27.990653,-82.694063
"Impulse","Corps, Open Class","Impulse","","(714) 847-7809","web.archive.org/web/20260120145801/http://www.impulseyoutharts.org","Buena Park","CA","90622-5186","P.O. Box 5186",33.8471,-118.0042
"Jersey Surf","Performance Ensemble, Soundsport","BOB","bobj@jerseysurf.org","(690) 280-0223","web.archive.org/web/20260120145801/http://jerseysurf.org","West Berlin","NJ","08091","465 E. Taunton Avenue, Suite 202",39.803692,-74.91674
"Les Stentors","Corps, Open Class","Les Stentors","","(819) 578-5008","web.archive.org/web/20260120145801/http://www.stentors.org","Sherbrooke","QC","J1N 3C9","C.P. 6363, Succursale Rock Forest",45.34472,-72.03269
"Mandarins","Corps, World Class","Mandarins","","(916) 956-0948","web.archive.org/web/20260120145801/http://www.mandarins.org","Sacramento","CA","95822","P.O. Box 22297",38.5676,-121.4684
"Music City","Corps, World Class","Music City","","","web.archive.org/web/20260120145801/https://musiccityyouth.org","Nashville","TN","37204","718 Thompson Lane, 
Ste 108-425",36.112636,-86.765143
"Pacific Crest","Corps, World Class","Pacific Crest","","(714) 785-9904","web.archive.org/web/20260120145801/http://www.pacific-crest.org","Diamond Bar","CA","91765","PO Box 5409",34.0009,-117.8177
"Raiders","Corps, Open Class","Raiders","","(201) 779-1617","web.archive.org/web/20260120145801/http://www.raidersdbc.org","Trenton","NJ","08650","PO Box 8926",40.1922,-74.6479
"Spartans","Corps, Open Class","Spartans","","(603) 883-0523","web.archive.org/web/20260120145801/http://www.spartansdbc.org","Nashua","NH","03061","PO Box 1429",42.7491,-71.4908
"Spirit of Atlanta","Corps, World Class","Spirit of Atlanta","","(408) 921-6231","web.archive.org/web/20260120145801/https://www.spiritofatlanta.org","Indian Trail","NC","28079","PO Box 1010",35.0806,-80.6595
"The Academy","Corps, World Class","The Academy","","(480) 838-4203","web.archive.org/web/20260120145801/https://www.arizonaacademy.org","Tempe","AZ","85283","5861 S. Kyrene Rd #17",33.369971,-111.944756
"The Cavaliers","Corps, World Class","The Cavaliers","","(224) 585-6027","web.archive.org/web/20260120145801/http://www.cavaliers.org","Rosemont","IL","60018","9501 Technology Boulevard, Suite 3300",41.974768,-87.865043
"Amoskeag Sound","Performance Ensemble, Soundsport","Amoskeag Sound","","(603) 707-4627","web.archive.org/web/20260120145801/https://www.muchachos.org","Manchester","NH","3104","1750 Elm St.  Box 902",43.003769,-71.465827
"Troopers","Corps, World Class","Troopers","","(307) 472-2141","web.archive.org/web/20260120145801/http://www.troopersdrumcorps.org","Casper","WY","82601","1801 East E Street",42.856693,-106.301281
"Calgary Stampede Showband","Corps, International","Allie","acooper@calgarystampede.com","(403) 261-0448","web.archive.org/web/20260120145801/https://corporate.calgarystampede.com/foundation/programs/stampede-showband","Calgary","Calgary","T2P 2K8","Box 1060, Station M",51.0491,-114.07563
"Calgary Stetson Show Band","Performance Ensemble, Soundsport","Michael","mrmrjewitt@gmail.com","4034619340","www.stetsonband.org","Calgary","Alberta","T2S 0J9","126 24 Ave SW
302",51.03148,-114.06576
"Columbus Saints","Corps, All Age","Columbus Saints","","","web.archive.org/web/20260120145801/http://www.columbussaints.org","Columbus","OH","43224","P.O. Box 248520",40.0407,-82.9679
"IMPACT Drum & Bugle Corps","Performance Ensemble, Soundsport","Michael","abendschein@impactdrumcorps.org","(352) 551-5564","web.archive.org/web/20260120145801/http://impactdrumcorps.org","Tavares","FL","32278","2345 Foxtree Rd",28.781359,-81.751669
"Blue Devils B","Corps, Open Class","Blue Devils B","","(925) 689-2918","web.archive.org/web/20260120145801/http://www.bluedevils.org","Concord","CA","94520","4065 Nelson Ave",38.009603,-122.04491
"Blue Devils C","Corps, Open Class","Blue Devils C","","(925) 689-2918","web.archive.org/web/20260120145801/http://www.bluedevils.org","Concord","CA","94520","4065 Nelson Avenue",38.009603,-122.04491
"River City Rhythm","Corps, Open Class","River City Rhythm","","(320) 290-2181","web.archive.org/web/20260120145801/http://rivercityrhythm.org","Monticello","MN","55362","PO Box 515",45.2984,-93.8015
"Phantom Regiment","Corps, World Class","Phantom Regiment","","(815) 261-1956","web.archive.org/web/20260120145801/http://www.regiment.org","Rockford","IL","61109","5608 International Drive",42.226449,-89.006925
"Cincinnati Tradition","Corps, All Age","Cincinnati Tradition","","(513) 602-6056","web.archive.org/web/20260120145801/http://www.cincinnatitradition.org","Fairfield","OH","45014","190 Ewing Dr. #A",39.328589,-84.525221
"Vessel","Corps, Open Class","Vessel","","(323) 228-7231","www.Vesseldbc.org","Long Beach","CA","90805","4769 Virginia Ave",33.842774,-118.197113
"Colt Cadets","Corps, Open Class","Colt Cadets","","(773) 308-6710","web.archive.org/web/20260120145801/http://www.colts.org","Dubuque","IA","52003","2300 Twin Valley Drive",42.461152,-90.6764
"Colts","Corps, World Class","Colts","","(563) 564-9016","web.archive.org/web/20260120145801/http://www.colts.org","Dubuque","IA","52003","2300 Twin Valley Drive",42.461152,-90.6764
"Columbians","Corps, Open Class","Columbians","","(509) 521-4175","web.archive.org/web/20260120145801/http://www.columbiansdrumcorps.org","West Richland","WA","99353","P.O. Box 4190",46.3009,-119.3518
"Crossmen","Corps, World Class","Crossmen","","(210) 627-6122","web.archive.org/web/20260120145801/http://www.crossmen.org","San Antonio","TX","78259","PO Box 591940",29.6303,-98.4338
"Crusaders Senior Drum & Bugle Corps","Performance Ensemble, Alumni Corps","Cynthia","crusaderssenior@gmail.co","(617) 797-5525","crusaderssenior.weebly.com/index.html","Rockland","MA","02380","8 Apple Court",42.159639,-70.887814
"Carolina Crown","Corps, World Class","Carolina Crown","","(803) 547-2270","web.archive.org/web/20260120145801/http://www.carolinacrown.org","Fort Mill","SC","29716","PO Box 99",35.0061,-80.9389
"Seattle Cascades","Corps, World Class","Seattle Cascades","","(425) 359-3188","web.archive.org/web/20260120145801/http://www.seattlecascades.org","Seattle","WA","98133","13717 Linden Ave. N. #201",47.728266,-122.348581
"Sacramento Freelancers Drum & Bugle Corps","Performance Ensemble, Mini Corps","Carl","nextstepconsulting@gmail.com","661-998-9181","www.freelancers-alumni.org","Temecula","CA","92592","44825 Machon Rd.",33.475383,-117.087986
"Blue Devils","Corps, World Class","Blue Devils","","(925) 689-2918","web.archive.org/web/20260120145801/http://www.bluedevils.org","Concord","CA","94520","4065 Nelson Ave",38.009603,-122.04491
"The Battalion","Corps, Open Class","The Battalion","","(303) 551-2103","web.archive.org/web/20260120145801/http://www.battalioncorps.org","Salt Lake City","UT","84110","P.O. Box 1603",40.7772,-111.9305
"Spirit of Sunnyvale","Performance Ensemble, Soundsport","Mickey","mickey_helms@yahoo.com","(650) 222-5697","web.archive.org/web/20260120145801/http://www.spiritofsunnyvale.com","San Jose","CA","95118","1421 Glacier Drive",37.263268,-121.889298
"Rogues Hollow Regiment","Corps, All Age","Rogues Hollow Regiment","","(330) 603-1196","web.archive.org/web/20260120145801/http://rogueshollowregiment.com","Norton","Ohio","44203","P.O. Box 1302",41.0175,-81.6197
"Sunrisers","Corps, All Age","Sunrisers","","(917) 528-9340","lisunrisers.org","Kings Park","NY","11754","8 Avenue B",40.88508,-73.268131
"North Star","Performance Ensemble, Alumni Corps","Linda","lindaobrein@yahoo.com","(978) 535-5740","sites.google.com/northstarcorps.org/northstarcorps","Peabody","MA","01960","1002 Foxwood Circle",42.531271,-70.996514
"Troopers Legacy Corps","Performance Ensemble, Alumni Corps","Tom","legacycorps@troopersdrumcorps.org","(508) 322-0150","","Westford","MA","1886","2 Woodridge Lane",42.586653,-71.449482
"Bluecoats Rhythm IN BLUE","Performance Ensemble, Soundsport","Jay","jwise@bluecoats.com","3309574024","web.archive.org/web/20260120145801/https://bluecoats.com/rhythminblue","North Canton","Ohio","44720","340 Mississippi St SE",40.866531,-81.394474
"Arsenal","Performance Ensemble, Soundsport","Caleb R.","caleb@arsenadbc.org","","web.archive.org/web/20260120145801/https://www.arsenaldbc.org","Albuquerque","New Mexico","17176","P.O Box 36180",35.1076,-106.5963
"Sound of Sun Prairie","Performance Ensemble, Soundsport","Sound of Sun Prairie","","","web.archive.org/web/20260120145801/https://www.spbb.org/sosp.html","Sun Prairie","WI","53590","220 Kroncke Drive",43.181565,-89.218478
"Hawthorne Caballeros","Corps, All Age","Hawthorne Caballeros","","(973) 945-5912","web.archive.org/web/20260120145801/https://www.hawthornecaballeros.org","Wayne","NJ","07474","PO Box 2148",40.9128,-74.2631
"Conquest Drum & Bugle Corps","Performance Ensemble, Soundsport","Jeremy","jhill01995@gmail.com","(563) 940-4184","web.archive.org/web/20260120145801/https://sites.google.com/view/conquest-drum-and-bugle/home","Geneseo","Illinois","61254","631 N State St
Apt 1",41.461211,-90.155801
"Reading Buccaneers","Corps, All Age","Reading Buccaneers","","(267) 810-3663","web.archive.org/web/20260120145801/https://www.readingbuccaneers.org","Reading","PA","19612","P.O. Box 13032",40.3668,-75.9114
"Minnesota Brass","Performance Ensemble, Soundsport","Minnesota Brass","minnesotabrassinformation@dci.org","(952) 210-7915","","Vadnais Hts","MN","55127","4177 Kaitlin Dr",45.06863,-93.074287
"Zephyrus Drum & Bugle Corps","Performance Ensemble, Soundsport","Zephyrus","zephyrusinformation@dci.org","","web.archive.org/web/20260120145801/https://www.zephyrusarts.org/corps.html","Tulsa","Oklahoma","74114","4039 E 26th St",36.12589,-95.934097
"Green Beret Marching Band","Performance Ensemble, Soundsport","Alicia","greenberetmarchingband@gmail.com","(608) 201-5049","web.archive.org/web/20260120145801/https://greenberetmarchingband.org","Janesville","WI","53547","P.O. Box 986",42.6855,-89.0135
"Eclipse","Performance Ensemble, Soundsport","Casey","casey.stone@eclipsedbc.org","(317) 850-0964","web.archive.org/web/20260120145801/https://eclipsedbc.org","Indianapolis","IN","46239","4721 Palomino Trail",39.699904,-86.021981
"Bushwackers Drum Corps","Corps, All Age","Bushwackers","","","web.archive.org/web/20260120145801/http://bushwackers.org","Princeton","NJ","08542","174 Nassau Street, #198",40.350922,-74.655926
"Fusion Core","Corps, All Age","Fusion Core","","(973) 945-5367","web.archive.org/web/20260120145801/https://www.fusioncore.org","Windermere","FL","34786","6527 San Francesco Way
#1304",28.45031,-81.564831
"Gems","Performance Ensemble, Soundsport","Austin","austinmoldenhauer@gmail.com","(208) 789-1544","web.archive.org/web/20260120145801/https://www.boisegems.org","Boise","ID","83705","4440 W Franklin Rd.
Apt 201",43.602333,-116.236744
"Northern Lights Drum & Bugle Corps","Performance Ensemble, Soundsport","Northern Lights","northernlightsinformation@dci.org","6162134477","web.archive.org/web/20260120145801/https://www.northernlightsmi.org","Plainfield charter Township","MI","49306","5783 West River Drive Northeast",43.067035,-85.624759
"Memphis Blues","Performance Ensemble, Soundsport","Memphis Blues","memphisbluesinformation@dci.org","(615) 319-2329","web.archive.org/web/20260120145801/https://www.memphisbluesdc.org","Nashville","TN","37224","PO Box 100855",36.1658,-86.7844
"New York Skyliners","Corps, All Age","Skyliners","skylinersinformation@dci.org","(570) 406-4114","web.archive.org/web/20260120145801/https://skylinersdbc.org","Kingston","PA","18704","151 E Bennett St",41.270771,-75.879886
"Hurricanes","Corps, All Age","Hurricanes","","(203) 520-5734","web.archive.org/web/20260120145801/http://cthurricanes.org","Seymour","CT","06483","PO Box 214",41.385,-73.0835
"White Sabers","Corps, All Age","White Sabers","","(716) 846-9541","web.archive.org/web/20260120145801/https://www.whitesabers.org","Rochester","NY","14624","2117 Buffalo Road #150",43.146299,-77.706533
"Buccaneer Alumni Corps","Performance Ensemble, Alumni Corps","Robert","president@bucsalumni.org","(484) 599-0182","","Reading","PA","19608","303 South Arthur Drive",40.303062,-76.059643
"Hawthorne Caballeros Alumni","Performance Ensemble, Alumni Corps","David","david.l.chadwick@gmail.com","8482403511","","Brick","NJ","07723","200 Claudia Road",40.035786,-74.135054
"Skyliners Alumni","Performance Ensemble, Alumni Corps","Cathy","skyalumdirector@gmail.com","(973) 342-6094","","","","","",,
"Spirit of Atlanta Alumni Corps","Performance Ensemble, Alumni Corps","Deedee","kennerd52@gmail.com","(904) 376-5909","","Chelsea","AL","35043","240 Park Crest Run",33.3099,-86.6768
"Steel City Ambassadors","Performance Ensemble, Soundsport","Steel City Ambassadors","steelcityambassadorsinformation@dci.org","(814) 923-8285","web.archive.org/web/20260120145801/https://scadbc.org","","","","",,
