eventName,eventDate,eventTime,venue,city,state,timelineStartTime,address,performanceLineupCount,dataSource
"DCI East Coast Showcase - Quincy",2021-08-03,2021-08-04T00:00:00.000+0000,"Veterans Memorial Stadium",Quincy,MA,2021-08-04T00:00:00.000+0000,"850 Hancock St.",7,events
"West Texas Drums",2021-08-03,2021-08-04T00:00:00.000+0000,"Buffalo Stadium at West Texas A&M",Canyon,TX,2021-08-04T01:00:00.000+0000,"2501 4th Ave",6,events
"DCI Celebration - Austin",2021-08-04,2021-08-05T00:00:00.000+0000,"Kelly Reeves Athletic Complex-Austin,TX",Austin,TX,2021-08-05T01:00:00.000+0000,"10211 W. Parmer Lane",8,events
"DCI East Coast Showcase - Lawrence",2021-08-04,2021-08-05T00:00:00.000+0000,"Veterans Memorial Stadium",Lawrence,MA,2021-08-05T00:00:00.000+0000,"240 Osgood St.",6,events
"DCI East Coast Showcase - Lawrence",2021-08-05,2021-08-06T00:00:00.000+0000,"Veterans Memorial Stadium",Lawrence,MA,2021-08-06T00:00:00.000+0000,"240 Osgood St.",7,events
"March On!",2021-08-05,2021-08-05T23:30:00.000+0000,"Spartan Field at Mayo H.S.",Rochester,MN,2021-08-06T00:30:00.000+0000,"1420 11th Ave SE",7,events
"DCI Celebration - Mesquite",2021-08-06,2021-08-07T00:00:00.000+0000,"Mesquite Memorial Stadium",Mesquite,TX,2021-08-07T01:00:00.000+0000,"2411 W. Scyene Rd.",8,events
"Show of Shows",2021-08-06,2021-08-06T23:30:00.000+0000,"Huskie Stadium at Northern Illinois University",DeKalb,IL,2021-08-07T00:30:00.000+0000,"1245 Stadium Drive South",10,events
"Cavalcade of Brass",2021-08-07,2021-08-07T23:30:00.000+0000,"The Sports Complex at Benedictine University",Lisle,IL,2021-08-08T00:30:00.000+0000,"5700 College Road",9,events
"DCI East Celebration",2021-08-07,2021-08-08T00:00:00.000+0000,"J. Birney Crum Stadium",Allentown,PA,2021-08-08T00:00:00.000+0000,"Linden St. & 20th St.",7,events
"DCI Broken Arrow",2022-07-19T00:00:00,,"",,,,"",,competitions
"DCI Denton",2022-07-21T00:00:00,,"",,,,"",,competitions
"DCI Austin",2022-07-21T00:00:00,,"",,,,"",,competitions
"Resound",2022-07-22T00:00:00,,"",,,,"",,competitions
"DCI Houston",2022-07-22T00:00:00,,"",,,,"",,competitions
"Summer Thunder",2022-07-23T00:00:00,,"",,,,"",,competitions
"Golden State Showdown",2022-07-23T00:00:00,,"",,,,"",,competitions
"DCI Southwestern Championship",2022-07-23T00:00:00,,"",,,,"",,competitions
"Diablo Valley Classic Pacific Open Class Championship Finals",2022-07-24T00:00:00,,"",,,,"",,competitions
"DCI New Hampshire",2022-07-24T00:00:00,,"",,,,"",,competitions
"DCI Mesquite",2022-07-25T00:00:00,,"",,,,"",,competitions
"DCI Corpus Christi",2022-07-25T00:00:00,,"",,,,"",,competitions
"DCI McKinney",2022-07-26T00:00:00,,"",,,,"",,competitions
"DCI Southern Mississippi",2022-07-27T00:00:00,,"",,,,"",,competitions
"DCI Little Rock",2022-07-27T00:00:00,,"",,,,"",,competitions
"The Masters of the Summer Music Games",2022-07-29T00:00:00,,"",,,,"",,competitions
"Music on the Mountain",2022-07-29T00:00:00,,"",,,,"",,competitions
"Legends Drum Corps Invitational",2022-07-30T00:00:00,,"",,,,"",,competitions
"DCI Southeastern Championship",2022-07-30T00:00:00,,"",,,,"",,competitions
"DCI Central Illinois",2022-07-30T00:00:00,,"",,,,"",,competitions
"NightBEAT",2022-07-31T00:00:00,,"",,,,"",,competitions
"DCI Sun Prairie",2022-08-01T00:00:00,,"",,,,"",,competitions
"DCI Huntington",2022-08-01T00:00:00,,"",,,,"",,competitions
"Summer Music Games of Southwest Virginia",2022-08-02T00:00:00,,"",,,,"",,competitions
"Spartan Thunder",2022-08-02T00:00:00,,"",,,,"",,competitions
"Drums Across the Smokies",2022-08-02T00:00:00,,"",,,,"",,competitions
"DCI Annapolis",2022-08-02T00:00:00,,"",,,,"",,competitions
"Soaring Sounds",2022-08-03T00:00:00,,"",,,,"",,competitions
"March On!",2022-08-03T00:00:00,,"",,,,"",,competitions
"DCI Glassboro",2022-08-03T00:00:00,,"",,,,"",,competitions
"Tournament of Drums",2022-08-05T00:00:00,,"",,,,"",,competitions
"Legends Drum Corps Open",2022-08-05T00:00:00,,"",,,,"",,competitions
"DCI Eastern Classic",2022-08-05T00:00:00,,"",,,,"",,competitions
"Shoremen Brass Classic",2022-08-06T00:00:00,,"",,,,"",,competitions
"DCI Eastern Illinois",2022-08-06T00:00:00,,"",,,,"",,competitions
"DCI Eastern Classic",2022-08-06T00:00:00,,"",,,,"",,competitions
"DCI Pittsburgh",2022-08-07T00:00:00,,"",,,,"",,competitions
"DCI Open Class World Championship Prelims",2022-08-08T00:00:00,,"",,,,"",,competitions
"DCI Cincinnati",2022-08-08T00:00:00,,"",,,,"",,competitions
"Open Class World Championship Finals",2022-08-09T00:00:00,,"",,,,"",,competitions
"DCI World Championship Prelims",2022-08-11T00:00:00,,"",,,,"",,competitions
"DCI World Championship Semifinals",2022-08-12T00:00:00,,"",,,,"",,competitions
"DCI World Championship Finals",2022-08-13T00:00:00,,"",,,,"",,competitions
